,Rank,Played,Won,Lost,Tie,Points,Year,Season,Team
0,1,22,17,3,2,93,2018,6,3
1,2,22,15,5,2,86,2018,6,10
2,3,22,13,7,2,78,2018,6,1
3,4,22,12,8,2,69,2018,6,0
4,5,22,11,9,2,68,2018,6,2
5,6,22,8,10,4,57,2018,6,11
6,7,22,9,11,2,55,2018,6,6
7,8,22,8,12,2,52,2018,6,7
8,9,22,8,13,1,51,2018,6,9
9,10,22,6,13,3,43,2018,6,5
10,11,22,6,14,2,42,2018,6,4
11,12,22,5,13,4,42,2018,6,8
0,1,22,15,4,3,87,2017,5,3
1,2,22,15,7,0,80,2017,5,7
2,3,22,13,5,4,79,2017,5,4
3,4,22,11,5,6,77,2017,5,0
4,5,22,10,7,5,71,2017,5,6
5,6,22,8,10,4,60,2017,5,11
6,7,22,8,11,3,57,2017,5,1
7,8,22,10,12,0,56,2017,5,10
8,9,22,7,12,3,52,2017,5,9
9,10,22,8,13,1,51,2017,5,5
10,11,22,6,14,2,46,2017,5,8
11,12,22,5,16,1,38,2017,5,2
0,1,14,10,4,0,52,2016,4,6
1,2,14,8,4,2,50,2016,4,9
2,3,14,8,5,1,47,2016,4,5
3,4,14,7,6,1,42,2016,4,10
4,5,14,6,6,2,42,2016,4,7
5,6,14,5,8,1,32,2016,4,1
6,7,14,4,9,1,29,2016,4,2
7,8,14,3,9,2,26,2016,4,0
0,1,14,12,2,0,60,2016,3,10
1,2,14,8,3,3,50,2016,3,9
2,3,14,9,5,0,48,2016,3,1
3,4,14,7,6,1,41,2016,3,6
4,5,14,6,7,1,38,2016,3,5
5,6,14,4,9,1,27,2016,3,0
6,7,14,4,9,1,27,2016,3,2
7,8,14,2,11,1,21,2016,3,7
0,1,14,12,2,0,60,2015,2,10
1,2,14,8,3,3,50,2015,2,9
2,3,14,9,5,0,48,2015,2,1
3,4,14,7,6,1,41,2015,2,6
4,5,14,6,7,1,38,2015,2,5
5,6,14,4,9,1,27,2015,2,0
6,7,14,4,9,1,27,2015,2,2
7,8,14,2,11,1,21,2015,2,7
0,1,14,10,3,1,54,2014,1,5
1,2,14,8,3,3,51,2014,1,10
2,3,14,8,5,1,47,2014,1,1
3,4,14,7,5,2,45,2014,1,6
4,5,14,6,5,3,42,2014,1,9
5,6,14,5,8,1,32,2014,1,2
6,7,14,4,9,1,24,2014,1,0
7,8,14,2,12,0,17,2014,1,7
