,Name,Super raid,Season,Super tackles,All-outs inflicted,All-outs conceded,Super Performance Total,Rank
10,Bengal Warriors,15,SEASON 7,0,34,0,49,1.0
15,Dabang Delhi K.C.,8,SEASON 7,0,34,0,42,2.0
12,Patna Pirates,13,SEASON 7,23,28,23,41,3.0
16,Jaipur Pink Panthers,7,SEASON 7,32,19,23,35,4.0
11,Haryana Steelers,14,SEASON 7,14,27,21,34,5.0
14,Bengaluru Bulls,8,SEASON 7,25,21,24,30,6.5
17,U Mumba,7,SEASON 7,18,26,21,30,6.5
19,U.P. Yoddha,5,SEASON 7,16,21,22,20,8.0
18,Puneri Paltan,6,SEASON 7,25,18,33,16,9.5
72,Gujarat Fortunegiants,0,SEASON 7,17,21,22,16,9.5
13,Telugu Titans,9,SEASON 7,21,0,22,8,11.0
73,Tamil Thalaivas,0,SEASON 7,13,0,30,-17,12.0
22,U Mumba,15,SEASON 6,15,41,0,71,1.0
28,Gujarat Fortunegiants,10,SEASON 6,18,36,0,64,2.0
23,Dabang Delhi K.C.,13,SEASON 6,19,34,28,38,3.0
29,Telugu Titans,9,SEASON 6,33,18,25,35,4.0
20,Bengaluru Bulls,20,SEASON 6,0,37,24,33,5.5
27,U.P. Yoddha,10,SEASON 6,27,26,30,33,5.5
21,Bengal Warriors,16,SEASON 6,16,23,23,32,7.0
24,Jaipur Pink Panthers,13,SEASON 6,25,22,32,28,8.0
26,Patna Pirates,11,SEASON 6,16,30,30,27,9.0
74,Puneri Paltan,0,SEASON 6,34,0,29,5,10.0
25,Haryana Steelers,12,SEASON 6,15,0,33,-6,11.0
78,Tamil Thalaivas,0,SEASON 6,0,20,27,-7,12.0
30,Patna Pirates,26,SEASON 5,27,55,29,79,1.0
33,Puneri Paltan,12,SEASON 5,21,32,0,65,2.0
36,Gujarat Fortunegiants,11,SEASON 5,0,36,0,47,3.0
34,Haryana Steelers,12,SEASON 5,21,27,23,37,4.0
31,U.P. Yoddha,23,SEASON 5,19,23,32,33,5.0
38,Telugu Titans,10,SEASON 5,17,25,26,26,6.0
35,Bengal Warriors,11,SEASON 5,12,27,29,21,7.5
37,U Mumba,10,SEASON 5,26,21,36,21,7.5
76,Bengaluru Bulls,0,SEASON 5,17,28,25,20,9.0
32,Jaipur Pink Panthers,13,SEASON 5,0,22,27,8,10.0
75,Tamil Thalaivas,0,SEASON 5,17,0,31,-14,11.0
39,Dabang Delhi K.C.,6,SEASON 5,12,0,35,-17,12.0
43,Patna Pirates,7,SEASON 4,27,19,12,41,1.0
40,Dabang Delhi K.C.,11,SEASON 4,20,15,16,30,2.0
44,Jaipur Pink Panthers,6,SEASON 4,17,17,14,26,3.0
41,Puneri Paltan,10,SEASON 4,7,21,17,21,4.5
42,Telugu Titans,7,SEASON 4,5,22,13,21,4.5
46,U Mumba,4,SEASON 4,11,15,21,9,6.0
45,Bengal Warriors,4,SEASON 4,8,11,15,8,7.0
47,Bengaluru Bulls,4,SEASON 4,15,9,21,7,8.0
48,Patna Pirates,16,SEASON 3,7,30,13,40,1.0
49,Puneri Paltan,9,SEASON 3,13,25,13,34,2.0
52,U Mumba,7,SEASON 3,6,27,12,28,3.0
54,Bengal Warriors,4,SEASON 3,13,17,18,16,4.0
55,Telugu Titans,3,SEASON 3,15,13,17,14,5.0
51,Jaipur Pink Panthers,8,SEASON 3,16,11,22,13,6.0
50,Bengaluru Bulls,9,SEASON 3,7,12,21,7,7.0
53,Dabang Delhi K.C.,5,SEASON 3,13,9,28,-1,8.0
56,Telugu Titans,16,SEASON 2,16,26,15,43,1.0
61,U Mumba,7,SEASON 2,16,20,14,29,2.0
62,Jaipur Pink Panthers,5,SEASON 2,18,17,12,28,3.0
58,Bengaluru Bulls,10,SEASON 2,7,25,16,26,4.0
59,Bengal Warriors,9,SEASON 2,21,10,17,23,5.0
57,Dabang Delhi K.C.,14,SEASON 2,14,13,20,21,6.0
60,Puneri Paltan,8,SEASON 2,11,12,21,10,7.0
63,Patna Pirates,4,SEASON 2,13,13,21,9,8.0
68,Jaipur Pink Panthers,9,SEASON 1,12,29,15,35,1.0
64,Patna Pirates,13,SEASON 1,18,18,17,32,2.0
69,Telugu Titans,8,SEASON 1,8,25,14,27,3.0
65,U Mumba,12,SEASON 1,12,21,19,26,4.0
70,Bengaluru Bulls,7,SEASON 1,10,20,15,22,5.0
67,Bengal Warriors,11,SEASON 1,16,11,25,13,6.0
66,Puneri Paltan,11,SEASON 1,14,12,26,11,7.0
71,Dabang Delhi K.C.,5,SEASON 1,10,18,23,10,8.0
0,Patna Pirates,90,ALL SEASONS,131,193,145,269,1.0
6,U Mumba,62,ALL SEASONS,104,171,139,198,2.0
4,Telugu Titans,62,ALL SEASONS,115,142,132,187,3.0
7,Jaipur Pink Panthers,61,ALL SEASONS,130,137,145,183,4.0
2,Bengaluru Bulls,63,ALL SEASONS,93,152,146,162,5.0
3,Puneri Paltan,63,ALL SEASONS,125,134,162,160,6.0
1,Bengal Warriors,70,ALL SEASONS,98,133,144,157,7.0
5,Dabang Delhi K.C.,62,ALL SEASONS,96,141,168,131,8.0
77,Gujarat Fortunegiants,0,ALL SEASONS,0,93,0,93,9.0
8,Haryana Steelers,38,ALL SEASONS,50,0,0,88,10.0
9,U.P. Yoddha,38,ALL SEASONS,62,70,84,86,11.0
79,Tamil Thalaivas,0,ALL SEASONS,0,0,88,-88,12.0
